1-call-site,40,40,38,38,36,38,36,38,36,42,38,38,38,36,42,36,38,36,38,38,36,42,38,40,38,38,36,38,36,36,42,38
1-object,16,16,16,12,18,14,16,16,16,16,16,12,14,12,12,16,14,18,16,16,14,16,18,14,20,18,20,16,18,14,16,16
1-object-1-type,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1-type,14,14,10,14,14,14,14,14,14,12,14,12,16,16,14,14,14,12,12,12,16,14,12,14,12,14,14,12,14,16,16,14
2-call-site,38,38,46,40,36,40,38,40,36,34,38,40,34,38,36,38,40,42,34,42,34,36,40,38,42,38,36,32,34,42,36,38
abduce,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
ancestor,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
andersen,12,16,14,12,10,16,14,14,12,16,18,10,12,10,14,12,14,12,14,12,10,14,12,12,12,14,12,16,14,10,10,14
animals,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
buildwall,7636,100000000,100000000,27060,100000000,100000000,166,31906,60,598,31502,3228,19700,4508,278,338,100000000,45444,62,15054,4402,7034,100000000,4386,94,56,992,1860,30350,100,22110,574
clique,12,10,12,16,14,12,12,10,10,16,12,14,10,14,16,10,16,10,12,12,18,12,12,12,12,10,12,10,10,12,18,12
cliquer,66,68,88,108,110,64,114,54,72,60,58,72,72,62,76,70,88,86,70,82,88,72,90,106,88,70,98,78,96,62,62,128
downcast,98,104,104,102,100,94,102,96,102,98,102,96,96,98,98,96,104,108,100,90,96,110,98,100,94,102,98,92,102,100,104,98
escape,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
inflamation,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,36,34,34,36,34,34,34,34,34,34,34,34
modref,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
nearlyscc,1674,466,442,2368,928,766,530,864,650,1018,716,1700,628,852,450,988,568,548,510,3250,530,372,1146,1348,272,838,1356,660,778,710,596,440
path,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
polysite,102,104,108,104,110,104,110,112,114,106,100,106,106,110,102,110,104,104,110,100,102,98,108,98,110,108,104,104,118,112,100,104
rsg,18,18,20,18,18,20,18,18,18,16,16,18,16,16,16,16,16,16,16,16,18,16,16,18,20,18,16,16,16,20,16,16
rvcheck,1250,1260,5856,364,178,402,2978,1622,498,1264,3952,5084,5456,288,2956,5550,3880,1730,5366,1712,3840,240,3750,2938,4262,1024,2722,64,3832,2802,3106,234
scc,164,244,974,128,4822,530,806,182,218,234,604,198,206,110,132,286,154,120,338,886,142,116,290,1394,620,178,294,1228,310,182,1158,1744
sgen,44,42,42,44,42,42,42,44,42,42,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44
ship,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
small,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
sql-01,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
sql-02,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
sql-03,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
sql-04,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-05,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
sql-06,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-07,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
sql-08,98,160,386,216,310,160,132,154,152,100,160,242,186,120,228,122,292,336,192,216,274,316,110,278,208,184,200,100,322,278,346,342
sql-09,36,44,58,34,40,30,38,58,40,40,30,46,42,44,42,48,28,34,54,36,38,44,44,32,30,30,34,34,60,40,44,48
sql-10,272,244,100000000,100000000,1562,400,100000000,100000000,100000000,100000000,100000000,6788,9256,100000000,342,7932,12846,100000000,238,100000000,100000000,3652,100000000,286,618,1348,3634,1138,100000000,100000000,252,144
sql-11,140,328,326,380,1864,632,554,492,450,228,166,436,290,330,270,550,498,536,334,442,550,2028,466,346,1694,864,606,298,1426,584,882,138
sql-12,24,24,22,26,24,26,20,22,24,22,20,22,26,22,20,22,24,22,24,20,20,26,26,24,22,20,24,24,24,22,20,24
sql-13,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
sql-14,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
sql-15,616,610,376,746,668,474,304,338,604,430,488,456,550,502,348,450,564,400,382,434,596,592,582,372,710,454,428,312,554,544,682,604
traffic,12,12,12,12,12,12,14,12,12,14,12,12,12,14,14,12,14,14,12,12,14,12,14,14,14,14,14,12,12,12,12,14
union-find,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
