1-call-site,20,20,19,19,18,19,18,19,18,21,19,19,19,18,21,18,19,18,19,19,18,21,19,20,19,19,18,19,18,18,21,19
1-object,8,8,8,6,9,7,8,8,8,8,8,6,7,6,6,8,7,9,8,8,7,8,9,7,10,9,10,8,9,7,8,8
1-object-1-type,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1-type,7,7,5,7,7,7,7,7,7,6,7,6,8,8,7,7,7,6,6,6,8,7,6,7,6,7,7,6,7,8,8,7
2-call-site,19,19,23,20,18,20,19,20,18,17,19,20,17,19,18,19,20,21,17,21,17,18,20,19,21,19,18,16,17,21,18,19
abduce,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ancestor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
andersen,6,8,7,6,5,8,7,7,6,8,9,5,6,5,7,6,7,6,7,6,5,7,6,6,6,7,6,8,7,5,5,7
animals,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
buildwall,3818,100000000,100000000,13530,100000000,100000000,83,15953,30,299,15751,1614,9850,2254,139,169,100000000,22722,31,7527,2201,3517,100000000,2193,47,28,496,930,15175,50,11055,287
clique,6,5,6,8,7,6,6,5,5,8,6,7,5,7,8,5,8,5,6,6,9,6,6,6,6,5,6,5,5,6,9,6
cliquer,33,34,44,54,55,32,57,27,36,30,29,36,36,31,38,35,44,43,35,41,44,36,45,53,44,35,49,39,48,31,31,64
downcast,49,52,52,51,50,47,51,48,51,49,51,48,48,49,49,48,52,54,50,45,48,55,49,50,47,51,49,46,51,50,52,49
escape,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
inflamation,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,18,17,17,17,17,17,17,17,17
modref,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nearlyscc,837,233,221,1184,464,383,265,432,325,509,358,850,314,426,225,494,284,274,255,1625,265,186,573,674,136,419,678,330,389,355,298,220
path,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polysite,51,52,54,52,55,52,55,56,57,53,50,53,53,55,51,55,52,52,55,50,51,49,54,49,55,54,52,52,59,56,50,52
rsg,9,9,10,9,9,10,9,9,9,8,8,9,8,8,8,8,8,8,8,8,9,8,8,9,10,9,8,8,8,10,8,8
rvcheck,625,630,2928,182,89,201,1489,811,249,632,1976,2542,2728,144,1478,2775,1940,865,2683,856,1920,120,1875,1469,2131,512,1361,32,1916,1401,1553,117
scc,82,122,487,64,2411,265,403,91,109,117,302,99,103,55,66,143,77,60,169,443,71,58,145,697,310,89,147,614,155,91,579,872
sgen,22,21,21,22,21,21,21,22,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22
ship,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sql-01,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
sql-03,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
sql-04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-05,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-07,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
sql-08,49,80,193,108,155,80,66,77,76,50,80,121,93,60,114,61,146,168,96,108,137,158,55,139,104,92,100,50,161,139,173,171
sql-09,18,22,29,17,20,15,19,29,20,20,15,23,21,22,21,24,14,17,27,18,19,22,22,16,15,15,17,17,30,20,22,24
sql-10,136,122,100000000,100000000,781,200,100000000,100000000,100000000,100000000,100000000,3394,4628,100000000,171,3966,6423,100000000,119,100000000,100000000,1826,100000000,143,309,674,1817,569,100000000,100000000,126,72
sql-11,70,164,163,190,932,316,277,246,225,114,83,218,145,165,135,275,249,268,167,221,275,1014,233,173,847,432,303,149,713,292,441,69
sql-12,12,12,11,13,12,13,10,11,12,11,10,11,13,11,10,11,12,11,12,10,10,13,13,12,11,10,12,12,12,11,10,12
sql-13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sql-14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sql-15,308,305,188,373,334,237,152,169,302,215,244,228,275,251,174,225,282,200,191,217,298,296,291,186,355,227,214,156,277,272,341,302
traffic,6,6,6,6,6,6,7,6,6,7,6,6,6,7,7,6,7,7,6,6,7,6,7,7,7,7,7,6,6,6,6,7
union-find,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
