1-call-site,19,19,18,19,18,19,19,19,19,19,19,19,18,18,20,19,20,20,19,19,18,19,18,19,21,19,19,19,20,18,18,19
1-object,9,6,6,8,7,7,7,8,10,7,11,7,8,7,7,7,7,9,8,10,7,11,8,7,8,9,6,7,8,9,9,8
1-type,7,8,6,9,7,8,6,7,7,6,8,9,8,7,7,6,7,7,7,7,7,8,6,8,7,6,7,7,8,7,8,8
2-call-site,18,19,17,19,19,17,20,19,19,20,16,20,17,22,17,19,20,18,16,18,18,17,16,18,20,18,18,18,20,17,18,17
abduce,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ancestor,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
animals,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
buildwall,173,154,107,76,162,190,37,67,211,126,193,147,131,158,216,55,151,106,138,189,177,116,156,154,62,48,132,121,133,64,39,90
clique,10,6,7,7,8,6,7,5,7,12,11,5,6,8,7,6,5,9,7,9,6,6,5,8,7,5,8,8,7,6,7,6
cliquer,33,34,33,27,37,44,29,32,42,35,39,32,52,34,32,41,51,31,31,44,40,35,44,30,28,30,27,33,39,34,36,45
downcast,49,54,49,53,48,52,55,48,48,53,53,50,51,51,55,49,55,50,51,50,49,47,54,53,53,53,50,51,49,51,48,52
escape,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
inflamation,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17
modref,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
nearlyscc,488,365,276,262,270,508,341,266,291,218,2311,321,216,315,313,759,320,1202,222,191,219,255,325,1145,247,406,278,488,252,1271,332,398
path,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
polysite,54,52,51,52,56,50,52,54,50,56,52,52,51,52,51,57,54,51,53,50,54,51,53,53,52,52,51,52,50,53,51,52
rsg,9,10,8,8,8,9,10,8,9,9,9,9,9,9,9,9,8,8,9,9,9,8,8,8,9,8,10,8,10,10,8,9
rvcheck,361,98,325,316,362,120,266,281,155,354,368,269,197,405,405,385,409,394,339,412,335,299,400,358,270,344,85,248,353,364,177,392
scc,76,69,84,93,63,73,301,73,80,81,96,67,70,104,66,84,104,100,70,135,80,77,85,82,159,101,78,61,111,73,113,73
sgen,21,21,21,21,22,22,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,22,21,22,21,21,21
small,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sql-01,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-02,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
sql-03,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
sql-04,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-05,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
sql-06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
sql-07,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
sql-08,42,94,52,104,51,60,80,152,112,95,62,125,56,80,89,94,88,83,94,113,84,57,73,61,43,73,120,72,53,92,68,114
sql-09,17,14,12,13,18,12,14,15,17,16,13,13,10,13,16,20,9,12,15,12,12,12,15,14,15,15,15,12,18,14,13,16
sql-10,659,120,123,664,627,84,684,685,633,635,675,654,689,653,667,93,111,90,674,684,85,699,118,89,642,80,691,94,634,95,649,636
sql-11,192,277,207,247,269,180,123,201,183,280,164,253,300,105,171,247,97,123,255,350,273,379,249,142,285,182,280,285,225,105,124,272
sql-12,12,12,12,12,12,12,10,10,12,12,12,10,12,10,12,10,12,12,10,12,10,10,12,12,10,12,12,10,10,12,12,10
sql-13,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sql-14,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
sql-15,169,216,161,241,304,271,309,302,244,283,312,190,192,245,254,174,204,274,188,166,313,325,285,194,194,321,204,192,200,273,278,311
traffic,7,6,6,6,6,6,6,7,6,6,6,6,6,7,6,7,7,6,6,6,6,7,7,7,6,6,6,6,6,6,6,7
